prime,roman,len
3701,MMMDCCI,7
3709,MMMDCCIX,8
3719,MMMDCCXIX,9
3727,MMMDCCXXVII,11
3733,MMMDCCXXXIII,12
3739,MMMDCCXXXIX,11
3761,MMMDCCLXI,9
3767,MMMDCCLXVII,11
3769,MMMDCCLXIX,10
3779,MMMDCCLXXIX,11
3793,MMMDCCXCIII,11
3797,MMMDCCXCVII,11
3803,MMMDCCCIII,10
3821,MMMDCCCXXI,10
3823,MMMDCCCXXIII,12
3833,MMMDCCCXXXIII,13
3847,MMMDCCCXLVII,12
3851,MMMDCCCLI,9
3853,MMMDCCCLIII,11
3863,MMMDCCCLXIII,12
3877,MMMDCCCLXXVII,13
3881,MMMDCCCLXXXI,12
3889,MMMDCCCLXXXIX,13
3907,MMMCMVII,8
3911,MMMCMXI,7
3917,MMMCMXVII,9
3919,MMMCMXIX,8
3923,MMMCMXXIII,10
3929,MMMCMXXIX,9
3931,MMMCMXXXI,9
3943,MMMCMXLIII,10
3947,MMMCMXLVII,10
3967,MMMCMLXVII,10
3989,MMMCMLXXXIX,11
4001,MMMMI,5
4003,MMMMIII,7
4007,MMMMVII,7
4013,MMMMXIII,8
4019,MMMMXIX,7
4021,MMMMXXI,7
4027,MMMMXXVII,9
4049,MMMMXLIX,8
4051,MMMMLI,6
4057,MMMMLVII,8
4073,MMMMLXXIII,10
4079,MMMMLXXIX,9
4091,MMMMXCI,7
4093,MMMMXCIII,9
4099,MMMMXCIX,8
4111,MMMMCXI,7
4127,MMMMCXXVII,10
4129,MMMMCXXIX,9
4133,MMMMCXXXIII,11
4139,MMMMCXXXIX,10
4153,MMMMCLIII,9
4157,MMMMCLVII,9
4159,MMMMCLIX,8
4177,MMMMCLXXVII,11
4201,MMMMCCI,7
4211,MMMMCCXI,8
4217,MMMMCCXVII,10
4219,MMMMCCXIX,9
4229,MMMMCCXXIX,10
4231,MMMMCCXXXI,10
4241,MMMMCCXLI,9
4243,MMMMCCXLIII,11
4253,MMMMCCLIII,10
4259,MMMMCCLIX,9
4261,MMMMCCLXI,9
4271,MMMMCCLXXI,10
4273,MMMMCCLXXIII,12
4283,MMMMCCLXXXIII,13
4289,MMMMCCLXXXIX,12
4297,MMMMCCXCVII,11
4327,MMMMCCCXXVII,12
4337,MMMMCCCXXXVII,13
4339,MMMMCCCXXXIX,12
4349,MMMMCCCXLIX,11
4357,MMMMCCCLVII,11
4363,MMMMCCCLXIII,12
4373,MMMMCCCLXXIII,13
4391,MMMMCCCXCI,10
4397,MMMMCCCXCVII,12
4409,MMMMCDIX,8
4421,MMMMCDXXI,9
4423,MMMMCDXXIII,11
4441,MMMMCDXLI,9
4447,MMMMCDXLVII,11
4451,MMMMCDLI,8
4457,MMMMCDLVII,10
4463,MMMMCDLXIII,11
4481,MMMMCDLXXXI,11
4483,MMMMCDLXXXIII,13
4493,MMMMCDXCIII,11
4507,MMMMDVII,8
4513,MMMMDXIII,9
4517,MMMMDXVII,9
4519,MMMMDXIX,8
4523,MMMMDXXIII,10
4547,MMMMDXLVII,10
4549,MMMMDXLIX,9
4561,MMMMDLXI,8
4567,MMMMDLXVII,10
4583,MMMMDLXXXIII,12
4591,MMMMDXCI,8
4597,MMMMDXCVII,10
4603,MMMMDCIII,9
4621,MMMMDCXXI,9
4637,MMMMDCXXXVII,12
4639,MMMMDCXXXIX,11
4643,MMMMDCXLIII,11
4649,MMMMDCXLIX,10
4651,MMMMDCLI,8
4657,MMMMDCLVII,10
4663,MMMMDCLXIII,11
4673,MMMMDCLXXIII,12
4679,MMMMDCLXXIX,11
4691,MMMMDCXCI,9
4703,MMMMDCCIII,10
4721,MMMMDCCXXI,10
4723,MMMMDCCXXIII,12
4729,MMMMDCCXXIX,11
4733,MMMMDCCXXXIII,13
4751,MMMMDCCLI,9
4759,MMMMDCCLIX,10
4783,MMMMDCCLXXXIII,14
4787,MMMMDCCLXXXVII,14
4789,MMMMDCCLXXXIX,13
4793,MMMMDCCXCIII,12
4799,MMMMDCCXCIX,11
4801,MMMMDCCCI,9
4813,MMMMDCCCXIII,12
4817,MMMMDCCCXVII,12
4831,MMMMDCCCXXXI,12
4861,MMMMDCCCLXI,11
4871,MMMMDCCCLXXI,12
4877,MMMMDCCCLXXVII,14
4889,MMMMDCCCLXXXIX,14
4903,MMMMCMIII,9
4909,MMMMCMIX,8
4919,MMMMCMXIX,9
4931,MMMMCMXXXI,10
4933,MMMMCMXXXIII,12
4937,MMMMCMXXXVII,12
4943,MMMMCMXLIII,11
4951,MMMMCMLI,8
4957,MMMMCMLVII,10
4967,MMMMCMLXVII,11
4969,MMMMCMLXIX,10
4973,MMMMCMLXXIII,12
4987,MMMMCMLXXXVII,13
4993,MMMMCMXCIII,11
4999,MMMMCMXCIX,10
